,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,|1x3 Cross validator
8187,51, Self-emp-not-inc,85877, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,99999,0,60, United-States, >50K.
8188,72, Self-emp-not-inc,32819, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K.
8189,21, ?,517995, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,20, United-States, <=50K.
8190,59, Private,103948, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K.
8191,32, Private,96016, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K.
8192,21, Private,60668, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, United-States, <=50K.
8193,29, Local-gov,270379, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K.
8194,29, Private,190756, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, <=50K.
8195,59, Local-gov,221417, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K.
8196,23, Private,158940, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,55, United-States, <=50K.
8197,67, State-gov,121395, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,12, United-States, <=50K.
8198,26, Private,196866, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,38, United-States, <=50K.
8199,35, Private,302239, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K.
8200,41, Private,718736, Some-college,10, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K.
8201,31, Private,178615, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K.
8202,29, Private,158096, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K.
8203,19, ?,317988, Some-college,10, Never-married, ?, Not-in-family, White, Male,0,0,15, United-States, <=50K.
8204,23, Private,325596, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K.
8205,31, Private,120461, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K.
8206,80, ?,30680, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,0,0,35, United-States, <=50K.
8207,22, Private,125010, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K.
8208,67, Private,268781, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1510,8, United-States, <=50K.
8209,46, Private,36020, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K.
8210,35, Private,433682, Bachelors,13, Never-married, Tech-support, Not-in-family, Black, Male,0,0,40, United-States, <=50K.
8211,32, Local-gov,349148, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K.
8212,44, Self-emp-inc,148805, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,33, United-States, <=50K.
8213,24, Private,285775, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K.
8214,46, Local-gov,126524, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,40, United-States, >50K.
8215,52, Private,270221, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,44, United-States, >50K.
8216,24, Private,117222, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K.
8217,31, Private,118941, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K.
8218,59, Private,172667, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K.
8219,35, Private,241306, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States, <=50K.
8220,33, State-gov,292317, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K.
8221,34, Private,182918, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,46, United-States, >50K.
8222,76, Self-emp-not-inc,106430, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K.
8223,41, ?,119207, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0,0,40, United-States, <=50K.
8224,33, Private,377692, Assoc-acdm,12, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K.
8225,47, Private,284907, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K.
8226,65, Federal-gov,190160, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Male,0,1944,20, Poland, <=50K.
8227,65, Self-emp-inc,226215, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K.
8228,45, Private,169324, 9th,5, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Haiti, <=50K.
8229,22, Private,191460, 10th,6, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K.
8230,36, Self-emp-not-inc,219155, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K.
8231,66, ?,52654, 11th,7, Married-civ-spouse, ?, Husband, White, Male,0,0,32, United-States, <=50K.
8232,64, Self-emp-not-inc,198466, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,70, United-States, <=50K.
8233,47, Private,255965, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K.
8234,38, ?,54953, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0,0,30, United-States, <=50K.
8235,25, Private,290441, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K.
8236,44, Federal-gov,206927, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,40, United-States, >50K.
8237,66, Self-emp-inc,165609, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K.
8238,33, Self-emp-inc,206609, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,1876,50, United-States, <=50K.
8239,64, Private,211846, 10th,6, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K.
8240,17, Private,102446, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K.
8241,26, Private,114483, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K.
8242,43, Private,199657, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K.
8243,40, Private,192878, 10th,6, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K.
8244,43, Private,346081, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K.
8245,24, Private,26668, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Puerto-Rico, <=50K.
8246,72, ?,272425, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,3818,0,4, United-States, <=50K.
8247,68, Local-gov,159643, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,15, United-States, <=50K.
8248,51, ?,22743, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,50, United-States, <=50K.
8249,21, Private,142875, 10th,6, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, <=50K.
8250,18, ?,256304, HS-grad,9, Never-married, ?, Own-child, Black, Female,0,0,30, United-States, <=50K.
8251,36, Private,163380, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K.
8252,48, Private,162187, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K.
8253,32, Private,153353, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K.
8254,75, Self-emp-inc,134414, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K.
8255,25, Private,39212, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K.
8256,42, Private,344060, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, Japan, >50K.
8257,17, Local-gov,140240, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K.
8258,70, ?,210722, Prof-school,15, Divorced, ?, Not-in-family, White, Male,2538,0,45, United-States, <=50K.
8259,32, Private,285946, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K.
8260,34, Private,216645, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K.
8261,54, Private,54065, 7th-8th,4, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K.
8262,24, Private,44159, 12th,8, Never-married, Other-service, Other-relative, Other, Male,0,0,40, Dominican-Republic, <=50K.
8263,46, Private,188729, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,50, United-States, <=50K.
8264,44, Self-emp-not-inc,296982, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, ?, <=50K.
8265,56, Local-gov,277203, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K.
8266,39, Private,153949, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States, <=50K.
8267,46, Federal-gov,269890, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K.
8268,35, Federal-gov,61518, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K.
8269,39, Private,176050, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1848,47, United-States, >50K.
8270,25, Private,202700, HS-grad,9, Never-married, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K.
8271,18, Private,477083, 11th,7, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K.
8272,50, Private,221532, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K.
8273,43, Private,282155, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White, Female,4650,0,40, United-States, <=50K.
8274,38, Private,365307, HS-grad,9, Separated, Adm-clerical, Not-in-family, White, Female,0,0,32, United-States, <=50K.
8275,26, Private,248776, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K.
8276,48, Private,166863, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K.
8277,42, Private,191149, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K.
8278,22, Private,126822, 10th,6, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K.
8279,20, Private,281743, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,50, United-States, <=50K.
8280,27, Private,212041, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K.
8281,31, Private,264351, 7th-8th,4, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Mexico, <=50K.
8282,54, Private,117198, HS-grad,9, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K.
8283,38, Private,202937, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K.
8284,53, ?,201062, HS-grad,9, Married-civ-spouse, ?, Wife, Black, Female,0,0,2, United-States, <=50K.
8285,51, Private,96062, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K.
8286,54, Self-emp-not-inc,99902, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ireland, >50K.
8287,54, Private,76268, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,80, United-States, <=50K.
8288,64, Private,200517, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,39, United-States, <=50K.
8289,48, ?,222478, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States, <=50K.
8290,19, ?,168471, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,15, United-States, <=50K.
8291,52, Private,403027, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K.
8292,34, Self-emp-not-inc,201292, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K.
8293,39, Self-emp-not-inc,360814, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K.
8294,51, Private,155574, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K.
8295,48, Private,135525, Some-college,10, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K.
8296,42, Self-emp-not-inc,24763, Bachelors,13, Divorced, Craft-repair, Not-in-family, White, Male,0,0,65, United-States, <=50K.
8297,38, Self-emp-inc,184456, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, Italy, >50K.
8298,40, Private,30412, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K.
8299,37, State-gov,93225, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K.
8300,60, Self-emp-not-inc,359988, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female,0,0,12, United-States, <=50K.
8301,60, Self-emp-not-inc,122314, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, United-States, <=50K.
8302,59, Federal-gov,51662, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K.
8303,30, Private,137991, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Female,0,0,41, United-States, <=50K.
8304,47, State-gov,119458, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K.
8305,42, Private,208068, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Other, Male,7298,0,40, Mexico, >50K.
8306,32, Private,219553, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K.
8307,23, Private,308924, HS-grad,9, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K.
8308,27, Private,169748, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K.
8309,55, Private,164970, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,38, United-States, <=50K.
8310,39, Private,190987, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K.
8311,33, Private,250804, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, England, <=50K.
8312,30, Private,85374, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K.
8313,81, Private,39667, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,20, United-States, <=50K.
8314,41, Private,84817, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White, Female,3887,0,40, United-States, <=50K.
8315,38, Private,227615, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K.
8316,54, Private,155737, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,8614,0,40, United-States, >50K.
8317,38, Private,133935, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,41, El-Salvador, >50K.
8318,22, Federal-gov,316438, HS-grad,9, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K.
